User,Gender,Handedness,Feature1_1,Feature1_2,Feature1_3,Feature1_4,Feature1_5,Feature1_6,Feature1_7,Feature1_8,Feature1_9,Feature1_10Feature2_1,Feature2_2,Feature2_3,Feature2_4,Feature2_5,Feature2_6,Feature2_7,Feature2_8,Feature2_9,Feature2_10Feature3_1,Feature3_2,Feature3_3,Feature3_4,Feature3_5,Feature3_6,Feature3_7,Feature3_8,Feature3_9,Feature3_10Feature4_1,Feature4_2,Feature4_3,Feature4_4,Feature4_5,Feature4_6,Feature4_7,Feature4_8,Feature4_9,Feature4_10
estelle,f,both,10200404,21111620,20710139,37981782,23234206,33638987,17791421,13722017,21905789,19513075,12559670,19255306,19195914,37508061,25424358,31953455,16768564,16263347,21211948,19502854,1943188,10495138,11949971,30735839,16461984,24676612,10514579,7468031,13110473,11411601,10616481,8760168,7245943,6772222,8962374,7276842,6253985,8795315,8101474,8091253
estelle,f,both,7069320,16752490,19177271,19831573,17701243,20762541,12539890,14459161,24458511,21224462,7574090,15158648,20069997,18387182,18206054,21002664,11635331,17166419,24357672,18779584,-2147483648,7352683,11371306,11132882,10446943,13003430,4540656,7364486,14656578,11523367,9399807,7805964,8698690,7254299,7759110,7999233,7094675,9801932,9701094,7256216
estelle,f,both,11088440,17858585,18694008,17366751,20623982,18018496,15624391,14241154,26362662,17178537,11582248,16707948,18378769,16667565,22928423,17873210,14656212,17849221,23268755,18149403,3334506,9610843,11596902,10584884,14541300,9631372,7382553,6967495,15480937,9390719,8247742,7097105,6781867,6082681,8387123,8241837,7273658,10881725,7787818,8758684
estelle,f,both,13841271,18180981,20271169,21526575,16892243,22128556,13023523,12720383,27284230,19195748,14241225,18722563,19294707,21208883,16661585,24535886,10106157,18186433,23852608,19197491,6995615,10935372,12483977,14715846,10399205,15866176,4353813,6968038,16065835,11408975,7245609,7787191,6810729,6493037,6262379,8669710,5752344,11218394,7786772,7788515
estelle,f,both,9685295,18800240,17172195,18811682,17657317,86773194,106687252,10900108,24416346,17393970,10983410,18419389,16727637,18216334,18691993,90809708,101937302,14149002,21994964,18287700,3315471,11132302,9885108,11969153,11410136,79491338,95368881,4331687,14599032,9998038,7667938,7287086,6842529,6247181,7281856,11318370,6568420,9817314,7395932,8289662
estelle,f,both,8671620,19695749,15798404,22389851,17172207,52632128,21798254,16991927,21415530,17388443,10193916,18179839,17681692,19530942,18138567,54684915,19442651,20404651,19319292,17275576,1905617,11407449,9026014,13734173,11375438,45869000,12982339,10531615,11542494,9611645,8288299,6772389,8655677,5796768,6763128,8815915,6460312,9873036,7776798,7663931
estelle,f,both,8797608,19815939,18155597,17679226,16658994,38494587,21010251,13722722,22230934,18797670,9099225,19494174,18184890,16648177,16783223,40408537,18950529,16262571,21235465,18809016,1013867,11730581,10392003,9886339,9897155,31608520,12210234,6982427,12950790,10512995,8085358,7763593,7792887,6761838,6886067,8800017,6740295,9280143,8284675,8296021
estelle,f,both,7990690,20461472,18098108,19686263,17602593,51921003,11602158,29917662,23835202,17784913,8577951,18993389,19292054,18181889,17745057,53982970,9053217,31515886,22258121,18787518,201773,12085294,11190013,11584221,11004926,45180872,2800060,23664505,15983821,11510613,8376177,6908095,8102041,6597667,6740131,8802098,6253157,7851380,6274300,7276905
estelle,f,both,12070956,19920308,19685659,21036167,16749262,20512911,10304002,15252687,29296362,17772948,11929958,18684221,19706809,20819063,17252365,19297647,10283567,15679642,28854958,17198684,2910505,10900856,11902294,13231652,9161850,12422397,3428752,8397872,22014591,10932581,9019452,7783365,7804515,7587411,8090514,6875249,6854815,7281770,6840366,6266103
estelle,f,both,13637420,19310398,18263563,21384571,16505920,19965048,12655537,13739667,23841083,20101547,13701311,18209808,19812310,19974573,16180220,21212519,10710544,16161426,23843436,18552128,5346061,10955147,11008902,12581163,9112509,12897337,4340354,7369477,15049135,11307245,8355251,7254661,8803407,7393410,7067711,8315182,6370189,8791948,8794301,7244883
