User,Gender,Handedness,Feature1_1,Feature1_2,Feature1_3,Feature1_4,Feature1_5,Feature1_6,Feature1_7,Feature1_8,Feature1_9,Feature1_10,Feature1_11,Feature1_12,Feature1_13,Feature1_14,Feature1_15,Feature1_16,Feature1_17,Feature1_18,Feature1_19,Feature1_20,Feature1_21,Feature1_22,Feature1_23Feature2_1,Feature2_2,Feature2_3,Feature2_4,Feature2_5,Feature2_6,Feature2_7,Feature2_8,Feature2_9,Feature2_10,Feature2_11,Feature2_12,Feature2_13,Feature2_14,Feature2_15,Feature2_16,Feature2_17,Feature2_18,Feature2_19,Feature2_20,Feature2_21,Feature2_22,Feature2_23Feature3_1,Feature3_2,Feature3_3,Feature3_4,Feature3_5,Feature3_6,Feature3_7,Feature3_8,Feature3_9,Feature3_10,Feature3_11,Feature3_12,Feature3_13,Feature3_14,Feature3_15,Feature3_16,Feature3_17,Feature3_18,Feature3_19,Feature3_20,Feature3_21,Feature3_22,Feature3_23Feature4_1,Feature4_2,Feature4_3,Feature4_4,Feature4_5,Feature4_6,Feature4_7,Feature4_8,Feature4_9,Feature4_10,Feature4_11,Feature4_12,Feature4_13,Feature4_14,Feature4_15,Feature4_16,Feature4_17,Feature4_18,Feature4_19,Feature4_20,Feature4_21,Feature4_22,Feature4_23
alexis,male,right,17980173,20417449,9886906,41516175,18256591,17397222,22221722,10704444,11619003,19697660,10605733,15927273,18209290,23747071,10201831,16786935,17051970,11281350,18515381,6051751,10100909,14153096,16259725,17265812,21218465,9659628,44455445,16452672,19212203,19201777,9160111,13159501,25766358,6733406,14789353,17681917,24324214,10102891,15669549,17266004,9292837,21902082,5575821,8551107,16802344,14145388,9988017,13139654,1808096,33664643,7465789,8410338,11419857,2922523,5381416,11919575,22525308,5952817,9372753,15437907,1315524,7999568,9381989,3397335,12619879,18671631,1294636,6896625,6354006,7277794,8078810,7851532,10790802,8986883,10801865,7781920,6237587,7778085,3241049,9974455,8836536,8309163,8886306,8787366,7669981,7884014,5895501,3230451,8806273,7256471,9905718,7791381
alexis,male,right,16374077,17170507,9597769,15452386,15252801,6061074,16161750,11110159,12726941,21212951,19999897,11754576,11582630,41618714,11111015,17274907,15940579,15141366,19730263,6061225,9380242,13545193,17683581,16292272,18187427,9599850,15556824,15141368,5058450,16652039,11212738,11420786,22430685,18582360,15158990,9562731,41145015,11614557,16345313,16897005,14140960,21709025,6444232,8308741,17044760,15882522,9019367,9897601,1307943,7160479,6856456,12917531,8879463,3337583,4851786,14643951,12213163,5385379,1809018,33865001,3831001,9491351,9086617,7330978,12920280,18981506,208490,5444942,6083762,7272905,8289825,8291907,8396344,2223836,7282287,7772576,7875155,6569000,7786733,6369197,9773611,7753712,7280013,7783556,6853962,7810388,6809982,2727519,9171751,8100250,11599818,9798759
alexis,male,right,17371869,18377077,31197150,34667625,15756090,10099720,14143218,9213725,13338428,23712809,17173194,10675362,9635465,19429550,5412377,19295564,16364097,8687892,19293954,6060510,10103549,12219934,17673369,14842047,23230855,31116804,33932255,14745624,11118449,13654320,8567447,13435811,22227807,18678430,12325179,8590332,20202849,6561802,15960311,16166597,8180034,23428602,5556219,6031428,16696613,15658557,10088148,13623179,21589474,25140295,6964129,2318226,5342995,902400,5673382,15950380,10895767,2892698,202984,11042202,16454579,8985491,9389277,1910572,13024493,19085003,203730,6392235,7368991,4753898,9607676,9527329,8791960,7781494,8800223,8311325,7665046,7762429,6277426,7782663,9432480,8387347,3748270,10310072,6974819,6777319,6269461,4343599,9899819,5827698,10304378,8289565
alexis,male,right,17780314,34952491,16765752,17980390,20693209,9606862,12412062,25061505,12121125,22525217,20699644,10614613,12728854,17677284,7582058,19891916,11316650,12116627,21213866,7647155,8613736,13767036,17144951,17663208,36590920,16949759,20307287,16680662,9663437,14169302,26264475,11282012,19832577,21685135,12764783,10104820,19707733,6550063,15453755,17742357,8390256,24062428,5563643,9871303,16394365,15347484,11015962,28305245,8480076,9510707,9896628,2822828,5571453,16463656,2320307,13563512,14430578,3360057,3324128,10896592,18478650,12112769,7975664,2349935,15173545,22820700,1808364,5704098,6454683,6647246,8285675,8469682,10796580,6784033,6840609,8597848,9800818,8961705,6269065,7254556,9404726,6780692,1229083,7779146,3340986,9766692,6040320,1241728,6805371,8062938,10690267,8892800
alexis,male,right,18313585,18399468,12508730,74142177,17696859,11090181,14222828,9815947,13919263,21538854,16266241,13131897,9284747,18926237,7556505,18174847,15624969,6700933,20828128,7049122,11291850,11945161,18986123,18746781,18829769,11604646,78688401,14141406,10099535,15455335,10694933,12643024,21212649,17275290,13143329,8575382,20098538,7611899,15087763,15151557,10305793,21543021,7048998,5779786,17343172,17809580,11502245,11154932,4833894,67371425,6379883,3328657,7451950,1812561,5036891,13932721,8986313,4842920,984338,11335193,18891699,9356109,9893315,1442691,11965026,19014148,1713978,7879354,9522305,7244536,7674836,6770752,11316976,7761523,6770878,8003385,8882372,7606133,7279927,8288976,8300408,7591044,1206838,8818738,5731654,5258242,8863102,2528873,9577872,4065807,9463817,8287274
alexis,male,right,19697241,68179720,16769106,19170129,19111358,8588186,17274101,12726881,10100058,21316487,16747080,12442929,10103881,18688555,7581618,19385593,14142794,25422668,20939473,9492298,11181768,16798377,16265547,18893497,69489786,16261496,21496015,15779823,8081372,17278726,11703929,11397364,20537633,18478310,13034040,8773450,20203138,9708170,13633340,16266287,25537344,22831026,8599713,12725716,15652625,14245531,11410907,60697131,7976451,10885084,8500427,1308790,10501519,5949674,4345804,14264926,10474374,4438993,1508834,11423939,19005557,8479841,8989294,18145675,13547804,209076,2791131,6863792,7476713,7482589,8792654,8285044,10610931,7279395,6772582,6777207,5754254,7051560,6272706,8003936,8595047,7264616,1197581,10905752,5153499,7276992,7391668,9283221,8390637,9934585,8788833,6768817
alexis,male,right,17878266,20287047,14660483,14137577,14244921,9090499,15150607,14829862,27784505,117995114,18384117,9593564,13135631,20288540,5474538,18075194,14658286,6470788,19995810,7793612,12512481,16373162,15737287,18480278,19684628,13143199,17780175,11899938,8305060,16157199,16038956,26350030,117702121,18414140,10107552,12613734,19497831,8078449,14731072,14646328,7092016,21318736,8677057,9194265,20004575,15248503,9587807,11394577,6370432,7364809,3829556,1020116,7865664,6538326,18283876,109928960,10610955,1790378,4818458,12493263,17967801,8466715,8393930,218389,13122184,20915797,3432485,10611383,6344095,8892470,8290051,6772767,10415365,8070382,7284943,8291535,9500629,8066154,7773161,7803185,8317173,7795276,1530029,9608479,6264356,6252398,6873626,402939,9079996,5761779,9393192,8904408
alexis,male,right,18589892,26863299,15655674,17775415,12626865,7989306,15570201,45021950,11715011,19293792,16267255,10080274,12414051,18305662,8111912,19274173,14136080,7280826,20066118,7206270,11817205,16789169,15535233,17074357,27841750,16260278,17714605,12119574,9086352,14451201,46052833,10195092,18796049,17778690,10412768,11708767,19696185,9605218,14710974,14686120,7846132,22748917,6165519,12121593,16657522,17249857,10303269,20092211,7906135,9421272,4333531,203262,6687112,37257861,2920039,12018740,9489946,1791531,3792814,10389708,18501621,8474390,7899496,494203,12714188,19920458,2823226,7490802,6368513,6771088,7749539,8354143,8293333,7786043,8883089,7764088,8794971,7275052,6777309,8288743,8621237,7915953,1194563,10799782,6236584,6786623,7351929,2828459,8993978,9298366,9166720,10881344
alexis,male,right,16766239,20708958,13636340,14310106,12361146,7052997,14153514,73129821,13342730,18966953,17793547,12122487,13638271,31700031,8735494,17545061,14234316,9108010,19281825,7577388,12619491,17448719,14780290,15248925,23227686,12122741,15957608,12731316,6061490,15665971,74127397,10102035,19705317,17766964,13161062,13614918,30189246,10621946,15622689,15891093,7593535,21186503,8052461,14988943,14240019,15146815,9481622,14941655,5350309,7537674,3941212,10994210,6354918,63818768,3034101,11899019,9987249,4342772,4819982,22905095,1451343,8374457,6986084,203000,11891290,19468679,2849206,5308982,5849253,5767302,8286030,6772431,8419933,1737106,7798596,9311053,10308629,7067934,7806297,7779715,8818289,8794936,7284150,9170603,7248232,8905009,7390534,1717823,9770285,12139737,8931037,9297562
alexis,male,right,21583763,18292804,10590685,14447752,16274091,6457992,15263946,14335747,16963197,19773181,15183274,11510455,9688379,19395418,16453853,17088723,15358829,12620720,19689984,7985562,12828125,16162895,16670369,20730975,19334927,9312057,16156462,14146285,6576649,15725884,14687435,14634721,18995153,17375649,12122975,9194842,18904004,17757946,15159225,18989779,9052587,20725575,9676545,12663442,15142927,17657620,12416488,9978317,1234076,6369770,6487400,12945392,7486403,6096265,8372027,13510487,9698608,3833415,1398819,11599395,9149244,8480021,8679625,2310566,12947963,207950,3359530,6858984,8386426,8314486,9356609,8077981,9786691,1200893,7777543,8239481,8591170,6262694,5484665,7677040,8289559,7796023,7304608,8608702,6679203,10310154,6742020,7777611,9468595,9303911,8283943,9271193
