User,Gender,Handedness,Feature1_1,Feature1_2,Feature1_3,Feature1_4,Feature1_5,Feature1_6,Feature1_7,Feature1_8,Feature1_9,Feature1_10,Feature1_11,Feature1_12,Feature1_13,Feature1_14,Feature1_15,Feature1_16,Feature1_17,Feature1_18,Feature1_19,Feature1_20,Feature1_21,Feature1_22,Feature1_23Feature2_1,Feature2_2,Feature2_3,Feature2_4,Feature2_5,Feature2_6,Feature2_7,Feature2_8,Feature2_9,Feature2_10,Feature2_11,Feature2_12,Feature2_13,Feature2_14,Feature2_15,Feature2_16,Feature2_17,Feature2_18,Feature2_19,Feature2_20,Feature2_21,Feature2_22,Feature2_23Feature3_1,Feature3_2,Feature3_3,Feature3_4,Feature3_5,Feature3_6,Feature3_7,Feature3_8,Feature3_9,Feature3_10,Feature3_11,Feature3_12,Feature3_13,Feature3_14,Feature3_15,Feature3_16,Feature3_17,Feature3_18,Feature3_19,Feature3_20,Feature3_21,Feature3_22,Feature3_23Feature4_1,Feature4_2,Feature4_3,Feature4_4,Feature4_5,Feature4_6,Feature4_7,Feature4_8,Feature4_9,Feature4_10,Feature4_11,Feature4_12,Feature4_13,Feature4_14,Feature4_15,Feature4_16,Feature4_17,Feature4_18,Feature4_19,Feature4_20,Feature4_21,Feature4_22,Feature4_23
antoine,male,left,18810180,9598609,15937037,22620010,18783546,15433186,8312995,74748739,10492066,26263877,22208795,8195595,8386628,92425311,12119656,23231744,15253736,90775479,12171400,19304560,9876176,22724447,12104819,18403743,9156347,19713338,22789292,12662303,18183299,7569942,79181098,7562708,26386871,18486749,12124147,6561165,90372745,15688057,21312379,15960808,88983541,12124487,21721683,10771287,28814210,3753624,9007819,202686,6983376,9890048,5884302,8655186,16968181,65963678,76455745,15975816,11797740,1506586,9893215,83633214,5380125,12923811,6865168,81679838,4867698,12047772,202265,12155425,24260244,9395923,8953661,12729961,12899243,6778000,1215118,8785060,2725352,10288061,10411054,6689009,2230932,8792097,6739531,10307932,8388567,9095640,7303702,7256788,9673911,10569022,4553966,8307590
antoine,male,left,19197340,7984063,17064330,20773197,12351011,9917624,9582703,67882956,9860596,26491621,22223327,9214565,7962225,116224262,12447269,23231593,16450436,65348493,28400603,23834584,10584132,25442481,9728027,17381482,7559170,19127552,21203993,10099664,11703666,8603477,70582047,8602055,26938524,18211638,10692223,7672857,116276748,14242302,23227208,15725630,65080912,28452063,27295100,10607668,28066181,8106315,9615880,218462,9723621,11369267,2516285,2334245,213282,59492760,69353357,16660875,11945679,2948606,218609,108770014,4940535,13929826,7153054,56775916,20095607,15478129,26062261,13601974,23330001,7765601,7340708,9403930,9834725,7583379,9369421,8390195,1228690,9830746,10277648,6265959,7743616,7454247,7506734,9301767,9297381,8572576,8304995,8356455,1232838,11840506,4736180,12842495
antoine,male,left,24003080,8623705,19791357,20475709,13459660,10790546,9315656,13526364,13847056,21510722,19792795,8584777,6846096,27715761,13216128,20676672,15789224,52825035,15063749,23008743,10612904,20803405,9092770,18872917,8063174,22251875,21311350,9088547,13117607,7165787,17390804,10607699,22695776,16797257,11119116,6556371,27076461,14631588,20204891,15864580,51690527,15873745,23752566,11987667,23956436,5567802,10467465,218253,11946437,10170271,2318581,4020580,218629,6579206,3035458,13938481,11035500,2823020,9669116,19709390,5849057,11894140,7478474,44438929,7812151,14947149,1807487,10623225,19715995,8405452,7844920,10305438,11141079,6769966,9097027,6947157,10811598,7572240,8757294,5761756,1449999,8006371,7367071,8782531,8310750,8386106,7251598,8061593,8805416,10180179,4240440,9808242
antoine,male,left,21078272,7613209,17264553,23930296,20713853,13232341,7683094,30480335,12226769,28605648,23529460,6788907,6347173,24539889,11110341,23830559,14267304,52301593,12123608,21915751,9086213,22834711,13331481,17489619,8601026,17673994,23429976,19704739,16456820,5157625,31778862,11233779,31425816,18164184,10400708,5061869,22740184,14612302,23876997,13651541,50853958,12152209,21413388,12117982,27976668,6770987,10096417,220008,8883535,15139837,12423714,5951316,13634410,22500300,2948207,20320076,12423719,1048442,7395616,16472928,4843085,14061341,4451648,43101700,4371350,14134891,1807716,12524445,25855926,7393201,8381018,8790459,8290139,7281024,2822409,7980035,9278562,8285572,11105740,5740464,3005092,8066961,6267256,9769217,9815655,9199893,7752258,7780859,7278497,10310265,2120742,8891729
antoine,male,left,22318416,9259046,28305313,19496424,16466967,11242830,34612123,28753526,10202547,24776908,20414138,8782205,6056295,27258344,13142528,19503397,16455878,54843602,12625640,20398273,10011510,21508480,7775655,17452571,11114082,28800180,19817775,13108525,14143413,34238304,30900641,8079310,26267176,16876752,10834837,5294423,25998291,15204194,19221014,15154191,54843016,11715580,23338864,11105389,26264666,5029810,9994738,1801212,18992444,9688688,6337881,4472186,24940895,19456118,29658665,15455622,9602583,1508036,7564332,18693416,5837653,10136855,7371719,47061130,4843754,13526448,199094,10602185,18377840,7457833,9312869,9807735,10129086,6770644,9671227,9297408,1241975,9321286,10811554,7274169,3270505,8564928,7304874,9366541,9084158,7782471,7781886,6871825,9812416,10906295,7886825,12916636
antoine,male,left,17283244,8281737,24544917,23013770,14661205,16664255,6168119,34840019,9820925,33624897,27247398,9094231,5971758,66681876,19668373,20201503,14140157,30722877,17555497,21310750,10108860,19814809,7920268,15155758,8084550,25553677,23698299,13153343,16253154,8115275,33816406,11413040,35926988,20842393,9071302,9110997,65460926,20790889,20199537,14141666,30607799,16627515,24883890,9085126,24339911,5234353,7370326,496304,16956672,14416765,5379671,8890583,15058703,25530292,1534811,23746668,15067078,3318916,219372,57790251,11997697,11408312,5348932,21930143,8877842,13561077,23669938,9515729,17435998,7785432,7588245,8597005,9281534,7773671,1194451,9309727,8286114,9878229,12180320,5775315,5752386,8891625,7670675,8793191,8791225,8792733,8677655,7749672,1213952,10299079,6903913,12138267
antoine,male,left,18985452,8193349,19063810,21827165,10001443,14240324,8078966,25084988,14089562,27356588,23772780,7074295,6566045,16462939,9695756,16162508,14643797,61289471,10835913,19687350,7989552,20893560,7181355,15773913,8092099,20704136,22317891,7586974,13641935,10463118,24154146,14153998,29903021,18689544,11611787,4042123,15455431,11684490,15690983,14707404,59930362,10614651,20701186,12183234,22270476,3516954,8005233,424669,11396380,12519409,202961,6856311,1293341,15915212,5850628,19053217,12922977,1307728,7873774,8682802,2923127,7401144,6353958,52936025,3841575,12914274,202640,8912965,16094320,7768680,7667429,9307756,9798481,7384013,6785624,9169776,8238933,8303370,10849803,5766567,3738013,7780137,6772629,8761363,8289838,8353446,6994337,6773075,7786912,11980594,6176155,9693110
antoine,male,left,56449702,14878068,34113984,21441502,13008897,14145484,8789617,43627478,8657760,22757609,21711668,8675826,5861065,21835205,13314460,19105900,16667541,66566762,10673620,20737768,64946419,20301847,13744567,54856433,12445941,38685451,20201130,11115457,17375820,6163492,46145645,7579776,24750098,17858338,11874307,3988732,20307636,16239129,19222322,14649156,65547245,8698031,20200601,70497828,23323821,10107508,47084099,7105734,28773778,11529829,4337595,7367623,16157241,36245406,44903166,13935354,10896924,1714412,7575477,13547642,6554465,9421236,6866455,58784062,3910436,15950173,60695990,10500009,920755,7772334,5340206,9911673,8671301,6777861,1218579,7382071,1242479,8822255,10814744,6961414,4298830,8287563,6759994,9684663,9801086,7782701,6763183,4787595,4250428,9801837,12823811,9186752
antoine,male,left,22227757,7588656,23326006,25749682,17983931,10717671,7876997,34644123,11508217,24003689,22861696,10102288,6060782,82316832,9597263,20201728,14240811,32323908,10706450,20519015,10994672,18673972,12232417,22218377,6170568,24735988,24957166,17263999,11114737,9086110,38487850,7593042,26041858,18281844,12609466,6578492,80304439,12622129,19260339,14677887,29299740,11407944,22711526,11631739,24337904,7076160,13420094,21008750,15945811,16959505,9986270,3439942,202202,25760215,37268433,15191229,12011067,3831511,9892294,73021167,2313992,9893590,4874062,22520083,3926793,13037864,1321011,8363244,20595661,1209626,7380194,8790176,7997660,7277728,7674794,8883908,1219416,8812459,10850628,6270776,2717172,9295664,7283271,10308137,9366749,9803824,6779657,7481151,9673661,10310728,3742243,10818403
antoine,male,left,20098781,9089982,15933867,21536963,11614026,12290369,6097278,21808492,11111580,37069182,21377108,6499762,7275574,20706234,8218277,16238253,14723734,54754371,10100197,19190578,11313092,17380028,10394802,16136295,10713954,16993152,19389126,10103503,11398268,9107310,21679827,11646160,36565360,18873307,9192292,6058343,18703188,11118090,16254227,14140558,54411465,9110052,22301181,10535040,22924983,4549055,8388608,1342295,6562209,11106020,3330920,5517787,216798,12917979,2349733,27772754,12584503,210958,7486532,12942132,2457220,7577382,6046890,46660703,2349435,12429960,1441871,8286859,18681661,7747687,9371658,10430943,8283105,6772582,5880480,8890512,8761847,9296427,8792605,6288803,1705759,7764102,5761056,8660870,8676844,8093668,7750761,6760617,9871220,9093169,4243321,8792377
