User,Gender,Handedness,Feature1_1,Feature1_2,Feature1_3,Feature1_4,Feature1_5,Feature1_6,Feature1_7,Feature1_8,Feature1_9,Feature1_10,Feature1_11,Feature1_12,Feature1_13,Feature1_14,Feature1_15,Feature1_16,Feature1_17,Feature1_18,Feature1_19,Feature1_20,Feature1_21,Feature1_22,Feature1_23,Feature1_24Feature2_1,Feature2_2,Feature2_3,Feature2_4,Feature2_5,Feature2_6,Feature2_7,Feature2_8,Feature2_9,Feature2_10,Feature2_11,Feature2_12,Feature2_13,Feature2_14,Feature2_15,Feature2_16,Feature2_17,Feature2_18,Feature2_19,Feature2_20,Feature2_21,Feature2_22,Feature2_23,Feature2_24Feature3_1,Feature3_2,Feature3_3,Feature3_4,Feature3_5,Feature3_6,Feature3_7,Feature3_8,Feature3_9,Feature3_10,Feature3_11,Feature3_12,Feature3_13,Feature3_14,Feature3_15,Feature3_16,Feature3_17,Feature3_18,Feature3_19,Feature3_20,Feature3_21,Feature3_22,Feature3_23,Feature3_24Feature4_1,Feature4_2,Feature4_3,Feature4_4,Feature4_5,Feature4_6,Feature4_7,Feature4_8,Feature4_9,Feature4_10,Feature4_11,Feature4_12,Feature4_13,Feature4_14,Feature4_15,Feature4_16,Feature4_17,Feature4_18,Feature4_19,Feature4_20,Feature4_21,Feature4_22,Feature4_23,Feature4_24
imad,male,right,25846080,48195638,9608593,17862562,7976768,12727079,6852008,12036165,9516480,13212968,17453910,17190891,2526443,8491238,12217651,7169306,15146321,13638363,8713538,28443314,6041134,15804830,17257227,19192531,16140916,21853146,49806617,9572681,16257873,8095725,11489162,9325265,12229940,10590292,13235423,14377713,18646549,2010643,8568620,12754210,4045066,17176203,13626566,10503855,27177938,2530180,19181282,18392303,17945947,14057806,40400297,202273,8492154,211049,4842403,205249,2916149,202690,2825365,7043852,9857029,12383473,217519,3866549,11035856,9382901,5845061,932033,18871492,24912627,11009339,9085284,9885512,11788273,7795340,9406319,9370407,7765719,7884676,6646759,9120015,9313790,10387602,10410057,7333861,6263075,8273719,8351101,1718354,5763420,7793302,7781504,9571821,2265310,4795490,8171943,9307019,8060435
imad,male,right,20937065,18143286,10734252,18686659,9273923,14461395,11186868,10263031,13192180,11301527,18093341,16796787,3910404,8079904,14769721,7865230,16661563,14139669,36464444,23345720,7564335,16867398,17679469,20269238,17101037,17648801,20201516,9684418,18184275,11625126,12221697,13861074,10037330,10637420,14141532,15725163,19220743,408275,9196346,16557580,4548517,18150557,14682423,36461569,25448986,3917086,19927036,17680907,15745788,10880599,11375084,1907820,10910061,1999710,4835978,3801149,203106,3357956,4022063,7973872,9045496,12955901,1406786,6980161,14845392,10400858,6389970,28171991,15056143,22620478,10121803,7874236,10462568,10056465,6768202,8826432,7776598,7274213,9625416,7385718,10059924,9834223,7279463,10119468,7751291,6264842,6673117,7789559,1712187,6260705,7749698,8292453,8289577,2828508,6745594,9805232,9806670,5283220
imad,male,right,19996429,13232086,9191599,18280228,8304359,12596458,6702014,10072585,10609609,9688432,16171407,16962990,4547397,6470636,14430308,6572100,15659928,13637265,10913562,20207004,6556632,14751466,17163063,17177894,20781074,15878006,15268556,9645728,16362136,10131256,9702642,10102547,12714811,8274703,9191739,15255912,18204121,1490443,8668486,14775459,3536921,17686820,14810803,9212835,21189275,3067742,18249614,17710278,15655205,9609865,6963945,886988,9521488,1463710,3928912,928284,898322,11507932,206849,7186518,8893595,13440993,217065,5978887,12550987,9898534,5848979,1951739,12945908,19502540,9996988,8910437,8378053,10386564,6268141,8304611,8758740,6840648,8667545,5773729,9174262,1206879,9481582,8984889,8069394,4763128,6253571,8451421,2224472,5761393,7788286,8961823,7261095,1686735,4754477,8252626,8799840,7277151
imad,male,right,20012665,7490100,10690030,18280473,9103219,9808381,7774754,10666569,10304598,8718876,15359669,17167982,5053339,5626181,14775508,7700989,16142349,13936993,6654478,19712783,8489180,16353053,14750687,14252884,17448619,16163061,9626819,10571918,16798858,9899853,8773840,9610624,11295643,6178450,12226550,13604363,19907679,1534123,6567939,16363791,5058690,16169689,15034194,7058113,19716320,5046089,17273530,17179345,14637080,8905931,232971,1296182,9004737,1309099,1217627,218541,1274486,283442,2823868,5956988,9520607,14573946,292448,6965894,14666883,9386752,7154056,13808534,11429009,201870,11508833,8985990,6059529,11106733,7257129,9393848,9275735,7794120,8590753,7556212,9392082,10021156,5895008,9402681,7647375,5333732,1241674,7809613,1696907,6755597,6782936,1225660,8283773,8287310,4844219,5764696,8193354,8577551
imad,male,right,20526558,7990492,8795409,18788079,12503916,9596457,8066069,11434591,9080557,11928397,15643151,16473414,3099620,8213930,11106040,4552906,15650145,12827800,6648345,20339091,7456492,16262170,16263771,15150706,17681221,16665701,8064111,11122117,17266208,12125091,9172371,11408111,8506124,9696629,12632679,13628561,18262825,430895,9292320,12921854,1721747,17253479,13853058,6063701,20671219,4586286,17272000,16267434,15646235,8877671,202463,933761,8599723,3837430,1308796,202494,228974,803407,3035174,6045647,8890500,11990120,1510329,3324050,7876956,8883500,4457821,11106166,11528499,18984991,9989656,8981426,7864698,11648886,7788029,7861647,10188356,8666485,8287660,7863574,11205616,8277149,8893222,9597504,7582914,6272704,6703600,7781990,5044898,6766645,8369979,2746891,8810592,1686227,6272514,7282344,7286008,7781536
imad,male,right,20690914,14661001,8589550,17263989,11112805,10710181,9575690,9324547,9187561,10207096,16872279,16645924,3548053,7984756,12721484,4064276,18861696,10677086,5588151,18374051,6881577,15249128,20204064,15756685,16027896,15895817,18772156,3037379,18987543,12324057,8689302,11921152,9170396,7092067,12595835,15151257,18916520,1502128,8098913,14640524,1518676,15959060,14138206,5060158,19702157,4539704,17272753,18683708,16341763,8591821,7357006,15946556,11401010,3526272,1912396,2798784,202179,219344,3334372,7610816,9105483,12653537,219644,4842215,8906491,11608987,6327012,11915164,11090850,17972427,8979693,11911004,8983981,12099093,7303995,2825600,5862979,7586533,8797784,6776905,9122368,8968217,6872723,9261462,7540440,6262983,7765111,7879268,5734032,7252709,4350073,2223042,7283201,1729729,6269434,8293059,6772703,7357781
imad,male,right,22377671,16407162,8378473,16630118,62051028,6684457,15554601,8571018,9782308,10615451,15741052,16683276,3523549,7490695,10818254,6548244,15255698,13132516,7574671,19602735,7573718,15148179,17369303,16560861,11576374,16286770,20711190,4548484,18282327,60871765,7104964,18682564,7079870,10200795,10299269,15156528,17634017,2039096,9175052,11646916,2522863,16781346,14614829,6254354,20944146,4528445,17693863,16763072,17153165,11003485,11123877,19502351,10872794,54641496,454187,8903824,17474842,1494715,1909370,7351154,8877901,12401451,219032,1862234,8410479,9496399,5847568,13422239,12155790,19729509,9405096,9080536,8878324,11374186,5283285,1208839,5757323,7409532,6230269,6650777,1207722,8287592,8706080,8389898,7805374,5232566,7271662,8956020,3236436,5759299,7284947,1192590,7446944,1214637,5743083,8288767,7682536,8274841
imad,male,right,25251651,12220670,14665046,67166154,15131607,9095803,13824921,9315822,12710830,10505724,15626807,15170112,4045588,7498715,12809433,4546195,16666381,13137219,3005193,18512081,7053683,15303268,17197638,17199796,19274798,16799226,12618955,11621665,77267400,10201156,7471786,15666727,10097223,10380580,11738096,13640254,17667774,2035763,9694817,11095422,3538534,17684265,14807600,1448980,19401163,5043760,17677878,16872233,15648671,10431099,5852542,7898633,63443121,1307329,201975,6555109,204204,2817812,2942956,6831667,8361525,12407114,202290,3316906,7863102,9895526,5348479,8353672,10609172,17662855,8521200,8040960,8368523,14820552,6368127,6766412,3723032,13824278,8893827,7269811,9111617,9893018,7562768,8795139,6808586,5260660,7296424,9492526,3232320,6770855,7788739,6453927,7902908,1738307,6782067,9156678,8831272,7280147
imad,male,right,22623140,14140607,7576734,18889251,8079856,11111425,8584324,11617392,10775093,8212643,15274091,16545582,3031903,11209157,17170398,8588402,15654725,13010795,8008137,22022741,8777627,14943443,16292205,17555214,17371229,19388540,15642079,7595157,15352874,12619658,6567526,9595623,13232978,8785307,10886864,14842842,19829327,405579,9691490,20198512,4547255,17343206,12864272,8553279,22239824,4560015,18883944,17202010,15206687,12111064,6863132,14439866,10091881,2818863,1310630,3327428,5349197,2891312,2318649,6705875,8408615,11440518,2414768,9893676,18482079,9391035,5058624,202489,13671951,209754,10593181,8001442,8354646,10512076,7277475,1202213,8797370,5260993,9800795,5256895,6268195,7883780,5893994,8568215,8136967,8388809,8794389,7276721,1716433,6263689,7952170,7805648,8350790,8567873,4350261,8290763,9200568,6852040
imad,male,right,21209992,20961957,6424114,19907954,10897476,10198913,12328099,8075461,16160647,16264380,15752351,16164140,4040510,7575492,10888512,4566912,15645319,12737922,8182818,17881459,6055046,14649774,14935573,16355980,16262094,19198560,24832125,6582506,17667262,13316209,6145473,7607962,15152834,14641272,18795329,13726688,17679404,405893,9358509,12763925,1498780,16683438,13226842,7748137,18827515,4038945,17165601,15452480,14630150,13416198,15179595,21603709,10097032,3327245,209949,6392575,6860073,7867887,9490995,6448017,8885470,12925981,2416174,3946178,8513090,9895703,5950187,906164,11039485,17094532,8877845,6647818,7551318,7793794,5782362,3228416,9810922,7570230,9988964,5935524,1215387,8292760,6773385,9304334,7278670,4753423,5159317,6942334,4250835,5749615,6787735,7276654,6841973,1732982,5771928,8287755,8804662,7078832
