User,Gender,Handedness,Feature1_1,Feature1_2,Feature1_3,Feature1_4,Feature1_5,Feature1_6,Feature1_7,Feature1_8,Feature1_9,Feature1_10Feature2_1,Feature2_2,Feature2_3,Feature2_4,Feature2_5,Feature2_6,Feature2_7,Feature2_8,Feature2_9,Feature2_10Feature3_1,Feature3_2,Feature3_3,Feature3_4,Feature3_5,Feature3_6,Feature3_7,Feature3_8,Feature3_9,Feature3_10Feature4_1,Feature4_2,Feature4_3,Feature4_4,Feature4_5,Feature4_6,Feature4_7,Feature4_8,Feature4_9,Feature4_10
imad,male,right,37474441,35359461,19992063,16141555,13771476,36968811,19295646,22413907,15154668,16551238,223130557,41022345,30113995,21712870,14647721,13301674,38929850,17954488,21747654,15661092,14732964,27682388,22019504,11897572,6326256,5450011,29117148,9482945,13942363,7349377,8239523,9792052,13339957,8094491,9815298,8321465,7851662,9812701,8471543,7805290,8311714,6493440
imad,male,right,19910338,27367455,14750375,12120289,34037151,25974443,20002306,23629463,16736440,20739224,54170460,20182031,26551808,14763311,10099513,37576367,26069799,18791814,23226542,18788376,17681859,10081416,17266841,5465408,2822385,26760023,15158100,9090608,13928257,7438155,9389003,9828921,10100614,9284967,9297903,7277127,10816343,10911698,9701206,9298285,11350220,8292856
imad,male,right,21414546,21432759,15033816,16266035,19192200,35150647,19697849,24344609,12416655,14580826,50616449,20486998,23221109,16160434,13263830,21718796,35153264,18686841,23931380,12415720,13461414,12620557,13566319,5379026,5484628,11412998,24844848,9389433,15047202,3532478,5697583,8793988,7866440,9654789,10781407,7779202,10305798,10308416,9297407,8884177,8883242,7763830
imad,male,right,20395378,22315033,12241974,13520387,23330613,29295057,19292756,23939554,14128143,11630056,46463303,19865648,21582385,12088768,13640740,23334976,30304818,18954327,23256575,13649189,11989378,10811779,13261164,3920753,5352371,15042244,21002326,9990264,14975490,5847059,3827926,9583599,9053868,8321221,8168015,8288368,8292731,9302492,8964063,8281084,7802130,8161451
imad,male,right,20303939,21818420,10289200,16385869,17153793,27793081,26141696,29820461,13738598,14649601,45188533,20803362,21320193,11514270,14645119,18181723,31924026,24365355,24509441,16151324,13153092,12012449,13027507,1996513,6868113,9376787,18988145,13205815,18660921,7890078,6388355,8291490,8790913,8292686,9517756,7777005,8804935,12935881,11159540,5848520,8261246,6764737
imad,male,right,18892628,24243032,11220396,15245329,17762817,25478145,106905820,25217036,10100386,11716245,40519844,19349257,22278698,11088320,12931674,20688337,25859855,108512575,23230385,9597757,11720044,9575985,14469760,3411458,7568467,12399610,17189417,98235382,14939843,1809844,3928332,9316642,9773272,7808938,7676862,5363207,8288727,8670438,10277192,8290541,7787912,7791711
imad,male,right,17477763,23337021,12120073,10817982,16045107,59013615,23112745,22332607,10203121,12122986,44116413,15266801,21846229,14214717,8604065,17678540,61405606,22305742,19731735,8685581,12525659,6488586,14558806,4832650,1435915,8876957,50212032,11919171,11946037,2417422,5854827,10989176,8778214,7287422,9382066,7168149,8801582,11193573,10386570,7785698,6268158,6670831
imad,male,right,19604752,24235336,10709532,14819178,22379667,24454876,20254815,26249685,12971700,10901641,43463109,19054765,24271046,12736328,12830284,21312320,28085096,19682426,23760909,13232618,9593780,10806995,15987566,2426052,4508901,14058283,17200839,9370559,15937818,5148609,2817632,8797757,8247770,8283480,10310276,8321383,7254036,10884256,10311866,7823090,8084008,6776148
imad,male,right,21214478,33343297,10398101,12222719,17771677,36439929,19021367,21322461,8882408,12831829,45073422,21703119,32141030,9579258,12199591,18818901,38151033,16597871,21905724,7591827,11213633,11905395,23545573,1802645,4446106,10018192,27639221,8509554,13234144,210827,5450830,9309083,9797724,8595456,7776613,7753484,8800708,10511812,8088316,8671580,7380999,5762802
imad,male,right,21691006,22036077,8480802,14133796,13232263,44022593,23446000,19706005,7476033,12447286,385281786,18989797,23243018,5044435,13629466,19295230,45754940,17692319,19173494,7186941,13137671,10500619,13546899,22027702,7874044,7476840,32204203,9895263,11908949,211488,5471833,11190387,8489178,1215316,6259751,5755422,11818389,13550736,7797055,7264545,6975452,7665837
